#job id,arrival time (sec),topology,shape,size,duration (sec)
156,206100.0,CLOS,8,8,180.0
157,206220.0,CLOS,1,1,3600.0
158,206280.0,CLOS,1,1,3600.0
159,206400.0,CLOS,256,256,480.0
160,206820.0,CLOS,128,128,420.0
161,207000.0,CLOS,8,8,180.0
162,207300.0,CLOS,8,8,180.0
163,209340.0,CLOS,6,6,420.0
164,210120.0,CLOS,256,256,1260.0
165,210720.0,CLOS,8,8,240.0
166,211020.0,CLOS,8,8,120.0
167,211620.0,CLOS,8,8,1080.0
168,211620.0,CLOS,256,256,1440.0
169,212580.0,CLOS,8,8,360.0
170,213060.0,CLOS,8,8,120.0
171,213060.0,CLOS,8,8,600.0
172,213420.0,CLOS,1,1,67740.0
173,213780.0,CLOS,8,8,240.0
174,213780.0,CLOS,8,8,120.0
175,214020.0,CLOS,8,8,180.0
176,214080.0,CLOS,8,8,120.0
177,214320.0,CLOS,8,8,180.0
178,215160.0,CLOS,256,256,60.0
179,215160.0,CLOS,8,8,660.0
180,215400.0,CLOS,256,256,540.0
181,215520.0,CLOS,8,8,240.0
182,215880.0,CLOS,8,8,120.0
183,215880.0,CLOS,8,8,180.0
184,216120.0,CLOS,256,256,300.0
185,216540.0,CLOS,256,256,480.0
186,217200.0,CLOS,8,8,540.0
187,217320.0,CLOS,4,4,672240.0
188,217920.0,CLOS,8,8,180.0
189,219120.0,CLOS,8,8,180.0
190,219240.0,CLOS,1,1,1020.0
191,219480.0,CLOS,8,8,180.0
192,220980.0,CLOS,4,4,0.0
193,221160.0,CLOS,4,4,420.0
194,221760.0,CLOS,4,4,360.0
195,222000.0,CLOS,256,256,360.0
196,222720.0,CLOS,4,4,420.0
197,222840.0,CLOS,256,256,1140.0
198,224220.0,CLOS,4,4,53700.0
199,224640.0,CLOS,256,256,0.0
200,224820.0,CLOS,64,64,2520.0
201,225180.0,CLOS,256,256,0.0
202,225780.0,CLOS,256,256,420.0
203,226380.0,CLOS,256,256,60.0
204,227340.0,CLOS,64,64,840.0
205,228300.0,CLOS,64,64,480.0
206,228900.0,CLOS,64,64,46380.0
207,230220.0,CLOS,24,24,58920.0
208,263880.0,CLOS,9,9,900.0
209,264000.0,CLOS,4,4,420.0
210,264240.0,CLOS,8,8,180.0
211,264720.0,CLOS,8,8,0.0
212,265140.0,CLOS,8,8,180.0
213,265560.0,CLOS,8,8,900.0
214,266040.0,CLOS,4,4,420.0
215,266580.0,CLOS,8,8,120.0
216,267600.0,CLOS,8,8,900.0
217,267660.0,CLOS,8,8,180.0
218,267840.0,CLOS,16,16,30900.0
219,267960.0,CLOS,8,8,120.0
220,268020.0,CLOS,256,256,0.0
221,268440.0,CLOS,128,128,85980.0
222,268620.0,CLOS,32,32,0.0
223,268620.0,CLOS,256,256,300.0
224,268620.0,CLOS,8,8,120.0
225,268680.0,CLOS,32,32,60.0
226,268740.0,CLOS,32,32,0.0
227,268860.0,CLOS,32,32,0.0
228,268920.0,CLOS,32,32,300.0
229,269040.0,CLOS,8,8,180.0
230,269160.0,CLOS,32,32,60.0
231,269220.0,CLOS,1,1,1020.0
232,269340.0,CLOS,8,8,180.0
233,269520.0,CLOS,32,32,0.0
234,269640.0,CLOS,256,256,480.0
235,269640.0,CLOS,8,8,180.0
236,269940.0,CLOS,32,32,60.0
237,269940.0,CLOS,8,8,180.0
238,270240.0,CLOS,32,32,60.0
239,270540.0,CLOS,32,32,0.0
240,271800.0,CLOS,24,24,0.0
241,271920.0,CLOS,24,24,60.0
242,273600.0,CLOS,32,32,60.0
243,274320.0,CLOS,8,8,120.0
244,274800.0,CLOS,8,8,540.0
245,275280.0,CLOS,64,64,8880.0
246,275460.0,CLOS,8,8,180.0
247,276420.0,CLOS,8,8,240.0
248,276480.0,CLOS,8,8,60.0
249,276840.0,CLOS,80,80,300.0
250,276840.0,CLOS,8,8,180.0
251,277020.0,CLOS,1,1,0.0
252,277800.0,CLOS,8,8,60.0
253,278160.0,CLOS,80,80,360.0
254,279120.0,CLOS,80,80,23160.0
255,279120.0,CLOS,24,24,240.0
256,279360.0,CLOS,1,1,19560.0
257,279480.0,CLOS,32,32,1380.0
258,279720.0,CLOS,8,8,180.0
259,280080.0,CLOS,8,8,180.0
260,280200.0,CLOS,8,8,180.0
261,280260.0,CLOS,24,24,0.0
262,280800.0,CLOS,24,24,60.0
263,280800.0,CLOS,8,8,180.0
264,280860.0,CLOS,32,32,2700.0
265,280920.0,CLOS,8,8,1560.0
266,281160.0,CLOS,4,4,53280.0
267,281220.0,CLOS,24,24,0.0
268,281340.0,CLOS,16,16,861840.0
269,281400.0,CLOS,16,16,74940.0
270,281460.0,CLOS,2,2,600.0
271,281460.0,CLOS,24,24,60.0
272,282000.0,CLOS,24,24,480.0
273,282240.0,CLOS,32,32,3000.0
274,282480.0,CLOS,16,16,240.0
275,282540.0,CLOS,24,24,16260.0
276,282900.0,CLOS,1,1,120.0
277,282960.0,CLOS,24,24,14760.0
278,283080.0,CLOS,16,16,120.0
279,283380.0,CLOS,16,16,960.0
280,284040.0,CLOS,8,8,74280.0
281,284220.0,CLOS,32,32,1200.0
282,284340.0,CLOS,64,64,72060.0
283,284460.0,CLOS,16,16,1680.0
284,284880.0,CLOS,1,1,420.0
285,285180.0,CLOS,1,1,60.0
286,285300.0,CLOS,1,1,2160.0
287,285600.0,CLOS,8,8,23040.0
288,285660.0,CLOS,4,4,660.0
289,286380.0,CLOS,16,16,3600.0
290,286680.0,CLOS,1,1,360.0
291,287040.0,CLOS,8,8,0.0
292,287220.0,CLOS,8,8,4140.0
293,288120.0,CLOS,8,8,960.0
294,288480.0,CLOS,32,32,780.0
295,288540.0,CLOS,8,8,25560.0
296,288540.0,CLOS,1,1,120.0
297,288600.0,CLOS,1,1,60.0
298,288840.0,CLOS,1,1,60.0
299,289080.0,CLOS,1,1,0.0
300,289320.0,CLOS,1,1,120.0
301,289380.0,CLOS,1,1,60.0
302,289380.0,CLOS,80,80,67260.0
303,289560.0,CLOS,32,32,780.0
304,289620.0,CLOS,1,1,243900.0
305,289740.0,CLOS,2,2,0.0
306,289860.0,CLOS,8,8,5880.0
307,289980.0,CLOS,8,8,240.0
308,290040.0,CLOS,2,2,960.0
309,290220.0,CLOS,16,16,3660.0
310,290280.0,CLOS,8,8,180.0
311,290760.0,CLOS,32,32,780.0
312,291060.0,CLOS,8,8,1020.0
313,291360.0,CLOS,8,8,60.0
314,292020.0,CLOS,2,2,1080.0
315,292080.0,CLOS,8,8,2160.0
316,292200.0,CLOS,2,2,180.0
317,292440.0,CLOS,2,2,0.0
318,292620.0,CLOS,8,8,60.0
319,292800.0,CLOS,8,8,28980.0
320,293160.0,CLOS,32,32,600.0
321,293640.0,CLOS,32,32,3060.0
322,294240.0,CLOS,8,8,60.0
323,295440.0,CLOS,32,32,840.0
324,295920.0,CLOS,1,1,0.0
325,296220.0,CLOS,32,32,3000.0
326,296520.0,CLOS,1,1,0.0
327,296640.0,CLOS,4,4,10140.0
328,297060.0,CLOS,8,8,180.0
329,297120.0,CLOS,8,8,60.0
330,297360.0,CLOS,8,8,180.0
331,297720.0,CLOS,8,8,0.0
332,298080.0,CLOS,24,24,300.0
333,298140.0,CLOS,32,32,0.0
334,298380.0,CLOS,32,32,60.0
335,298560.0,CLOS,32,32,10740.0
336,298740.0,CLOS,8,8,0.0
337,298800.0,CLOS,8,8,240.0
338,299040.0,CLOS,48,48,50940.0
339,299100.0,CLOS,8,8,120.0
340,299280.0,CLOS,16,16,57360.0
341,299340.0,CLOS,8,8,60.0
342,299400.0,CLOS,8,8,0.0
343,299460.0,CLOS,8,8,0.0
344,300180.0,CLOS,8,8,0.0
345,301260.0,CLOS,2,2,0.0
346,301680.0,CLOS,1,1,360.0
347,301860.0,CLOS,1,1,60.0
348,302100.0,CLOS,8,8,180.0
349,302160.0,CLOS,2,2,0.0
350,302340.0,CLOS,1,1,420.0
351,302460.0,CLOS,8,8,120.0
352,302520.0,CLOS,8,8,120.0
353,302520.0,CLOS,80,80,67560.0
354,302880.0,CLOS,1,1,720.0
355,303000.0,CLOS,1,1,1620.0
356,304620.0,CLOS,1,1,20580.0
357,306120.0,CLOS,8,8,180.0
358,306480.0,CLOS,8,8,120.0
359,306960.0,CLOS,4,4,119760.0
360,307560.0,CLOS,8,8,17580.0
361,307920.0,CLOS,8,8,240.0
362,308220.0,CLOS,8,8,180.0
363,310140.0,CLOS,1,1,76800.0
364,310500.0,CLOS,32,32,18480.0
365,312120.0,CLOS,1,1,0.0
366,312420.0,CLOS,8,8,240.0
367,312480.0,CLOS,8,8,240.0
368,312720.0,CLOS,8,8,180.0
369,312780.0,CLOS,8,8,180.0
370,312840.0,CLOS,32,32,24540.0
371,312900.0,CLOS,8,8,240.0
372,313200.0,CLOS,8,8,180.0
373,345240.0,CLOS,4,4,180.0
374,345960.0,CLOS,4,4,420.0
375,347340.0,CLOS,1,1,1380.0
376,348120.0,CLOS,16,16,1680.0
377,349140.0,CLOS,32,32,780.0
378,349260.0,CLOS,32,32,840.0
379,349320.0,CLOS,1,1,20040.0
380,349440.0,CLOS,1,1,60.0
381,349920.0,CLOS,16,16,0.0
