# IAT (sec),prob (%)
0.0,0.2000
1.0,0.6000
2.0,0.4000
3.0,0.8000
4.0,0.5000
5.0,0.7000
6.0,0.2000
7.0,0.2000
8.0,0.7000
9.0,0.2000
10.0,0.5000
11.0,0.4000
12.0,0.5000
13.0,0.5000
14.0,0.5000
15.0,0.5000
16.0,0.6000
17.0,0.2000
18.0,0.5000
19.0,0.4000
20.0,0.3000
21.0,0.4000
22.0,0.1000
23.0,0.3000
24.0,0.4000
25.0,0.6000
26.0,0.5000
27.0,0.3000
28.0,0.6000
29.0,0.2000
30.0,0.1000
31.0,0.3000
32.0,0.3000
33.0,0.5000
34.0,0.1000
35.0,0.4000
36.0,0.1000
37.0,0.2000
38.0,0.5000
39.0,0.5000
40.0,0.6000
41.0,0.2000
42.0,0.5000
43.0,0.1000
45.0,0.6000
46.0,0.2000
47.0,0.3000
48.0,0.4000
49.0,0.3000
51.0,0.3000
52.0,0.2000
53.0,0.3000
54.0,0.2000
55.0,0.3000
56.0,0.1000
57.0,0.5000
58.0,0.6000
59.0,0.4000
60.0,0.3000
62.0,0.3000
63.0,0.3000
64.0,0.3000
65.0,0.1000
66.0,0.2000
67.0,0.2000
68.0,0.4000
69.0,0.3000
70.0,0.3000
71.0,0.3000
73.0,0.2000
74.0,0.3000
75.0,0.3000
76.0,0.4000
77.0,0.3000
78.0,0.6000
79.0,0.2000
80.0,0.6000
81.0,0.3000
82.0,0.4000
83.0,0.3000
84.0,0.4000
85.0,0.2000
86.0,0.3000
87.0,0.2000
88.0,0.4000
89.0,0.3000
90.0,0.2000
91.0,0.5000
92.0,0.5000
93.0,0.3000
94.0,0.3000
95.0,0.6000
96.0,0.2000
97.0,0.2000
98.0,0.3000
99.0,0.2000
100.0,0.3000
101.0,0.4000
102.0,0.1000
103.0,0.6000
104.0,0.1000
106.0,0.1000
107.0,0.2000
108.0,0.1000
109.0,0.6000
111.0,0.5000
112.0,0.6000
113.0,0.6000
114.0,0.4000
115.0,0.3000
116.0,0.3000
117.0,0.2000
118.0,0.1000
119.0,0.1000
120.0,0.2000
121.0,0.1000
122.0,0.2000
123.0,0.4000
124.0,0.3000
125.0,0.5000
126.0,0.4000
127.0,0.3000
128.0,0.2000
129.0,0.1000
130.0,0.2000
131.0,0.4000
132.0,0.5000
133.0,0.2000
134.0,0.2000
135.0,0.6000
136.0,0.1000
137.0,0.1000
138.0,0.3000
139.0,0.3000
140.0,0.1000
141.0,0.2000
142.0,0.2000
143.0,0.1000
144.0,0.3000
145.0,0.3000
146.0,0.1000
147.0,0.4000
149.0,0.6000
151.0,0.4000
152.0,0.2000
153.0,0.3000
154.0,0.3000
155.0,0.2000
156.0,0.2000
158.0,0.4000
159.0,0.3000
160.0,0.2000
161.0,0.2000
162.0,0.1000
163.0,0.2000
164.0,0.1000
165.0,0.2000
166.0,0.5000
167.0,0.5000
168.0,0.2000
169.0,0.2000
170.0,0.1000
171.0,0.1000
172.0,0.4000
173.0,0.3000
174.0,0.3000
175.0,0.1000
176.0,0.2000
177.0,0.2000
179.0,0.3000
180.0,0.2000
181.0,0.4000
182.0,0.2000
183.0,0.1000
185.0,0.1000
186.0,0.1000
189.0,0.2000
191.0,0.3000
192.0,0.2000
194.0,0.1000
195.0,0.5000
197.0,0.5000
198.0,0.3000
200.0,0.1000
201.0,0.3000
202.0,0.3000
204.0,0.1000
206.0,0.2000
208.0,0.2000
210.0,0.1000
213.0,0.3000
216.0,0.2000
217.0,0.1000
218.0,0.4000
219.0,0.3000
220.0,0.5000
221.0,0.2000
222.0,0.3000
223.0,0.1000
224.0,0.2000
225.0,0.4000
226.0,0.3000
227.0,0.3000
228.0,0.3000
229.0,0.3000
230.0,0.2000
231.0,0.2000
233.0,0.1000
234.0,0.2000
235.0,0.1000
236.0,0.1000
237.0,0.2000
238.0,0.1000
241.0,0.1000
242.0,0.3000
243.0,0.1000
244.0,0.1000
245.0,0.1000
246.0,0.2000
247.0,0.2000
248.0,0.3000
249.0,0.4000
251.0,0.3000
252.0,0.3000
253.0,0.2000
254.0,0.1000
255.0,0.1000
257.0,0.3000
258.0,0.3000
259.0,0.2000
260.0,0.3000
263.0,0.2000
264.0,0.2000
265.0,0.3000
266.0,0.2000
267.0,0.1000
268.0,0.3000
269.0,0.1000
270.0,0.2000
272.0,0.3000
273.0,0.4000
274.0,0.1000
275.0,0.1000
277.0,0.1000
278.0,0.1000
279.0,0.3000
280.0,0.1000
282.0,0.2000
283.0,0.2000
284.0,0.1000
286.0,0.1000
287.0,0.2000
290.0,0.1000
291.0,0.2000
293.0,0.1000
294.0,0.1000
295.0,0.1000
296.0,0.1000
297.0,0.2000
298.0,0.1000
299.0,0.2000
301.0,0.1000
303.0,0.1000
304.0,0.1000
306.0,0.1000
307.0,0.2000
309.0,0.3000
310.0,0.1000
311.0,0.2000
312.0,0.1000
314.0,0.1000
315.0,0.1000
316.0,0.1000
317.0,0.2000
320.0,0.3000
323.0,0.1000
324.0,0.2000
325.0,0.3000
326.0,0.1000
327.0,0.1000
328.0,0.1000
329.0,0.1000
330.0,0.2000
332.0,0.1000
333.0,0.1000
334.0,0.1000
336.0,0.2000
338.0,0.1000
339.0,0.2000
341.0,0.2000
342.0,0.2000
343.0,0.1000
346.0,0.1000
348.0,0.1000
350.0,0.1000
352.0,0.1000
354.0,0.2000
357.0,0.1000
359.0,0.3000
360.0,0.1000
361.0,0.2000
362.0,0.1000
363.0,0.3000
364.0,0.1000
365.0,0.1000
370.0,0.1000
372.0,0.1000
375.0,0.1000
376.0,0.1000
377.0,0.2000
379.0,0.2000
380.0,0.1000
381.0,0.1000
383.0,0.1000
384.0,0.1000
385.0,0.1000
387.0,0.1000
388.0,0.1000
390.0,0.1000
393.0,0.1000
395.0,0.1000
396.0,0.2000
398.0,0.2000
399.0,0.2000
400.0,0.2000
401.0,0.1000
404.0,0.2000
406.0,0.1000
408.0,0.1000
409.0,0.3000
410.0,0.1000
413.0,0.3000
416.0,0.1000
422.0,0.2000
426.0,0.2000
428.0,0.1000
430.0,0.1000
431.0,0.2000
432.0,0.2000
433.0,0.2000
434.0,0.1000
435.0,0.1000
441.0,0.2000
443.0,0.3000
444.0,0.1000
446.0,0.1000
447.0,0.1000
448.0,0.1000
449.0,0.2000
452.0,0.2000
453.0,0.1000
454.0,0.1000
455.0,0.1000
462.0,0.2000
463.0,0.2000
464.0,0.1000
466.0,0.1000
468.0,0.2000
469.0,0.1000
471.0,0.1000
473.0,0.1000
475.0,0.1000
476.0,0.1000
477.0,0.1000
479.0,0.1000
487.0,0.1000
489.0,0.1000
492.0,0.1000
495.0,0.1000
497.0,0.1000
498.0,0.1000
499.0,0.1000
500.0,0.1000
507.0,0.2000
508.0,0.1000
511.0,0.1000
514.0,0.1000
516.0,0.1000
519.0,0.1000
521.0,0.1000
522.0,0.1000
524.0,0.1000
526.0,0.2000
532.0,0.1000
533.0,0.1000
534.0,0.2000
535.0,0.2000
539.0,0.1000
540.0,0.1000
541.0,0.1000
544.0,0.1000
547.0,0.1000
548.0,0.1000
550.0,0.1000
551.0,0.1000
557.0,0.2000
558.0,0.1000
565.0,0.1000
567.0,0.2000
568.0,0.1000
572.0,0.1000
579.0,0.1000
584.0,0.2000
586.0,0.1000
592.0,0.1000
596.0,0.1000
598.0,0.1000
599.0,0.1000
601.0,0.1000
602.0,0.1000
605.0,0.1000
609.0,0.1000
622.0,0.1000
627.0,0.2000
630.0,0.1000
635.0,0.3000
637.0,0.1000
638.0,0.1000
640.0,0.1000
642.0,0.1000
647.0,0.1000
660.0,0.2000
663.0,0.1000
668.0,0.1000
671.0,0.1000
675.0,0.1000
682.0,0.1000
685.0,0.1000
687.0,0.2000
