#job id,arrival time (sec),topology,shape,size,duration (sec)
114,10090557,CLOS,0.47,0.47,93.0
115,10090801,CLOS,1.0,1.0,1040.0
116,10091052,CLOS,0.32,0.32,1209.0
117,10091866,CLOS,0.47,0.47,2606.0
118,10091963,CLOS,0.22,0.22,2755.0
119,10093366,CLOS,0.23,0.23,116.0
120,10094677,CLOS,1.0,1.0,1101.0
121,10096044,CLOS,0.32,0.32,839.0
122,10096985,CLOS,0.47,0.47,3636.0
123,10097319,CLOS,1.0,1.0,1316.0
124,10098174,CLOS,1.0,1.0,3623.0
125,10099853,CLOS,1.0,1.0,521.0
126,10101831,CLOS,0.47,0.47,5708.0
127,10103062,CLOS,0.11,0.11,8363.0
128,10103067,CLOS,0.32,0.32,10811.0
129,10103070,CLOS,0.32,0.32,10817.0
130,10103080,CLOS,0.22,0.22,21304.0
131,10103554,CLOS,1.0,1.0,276.0
132,10103657,CLOS,0.23,0.23,235.0
133,10103830,CLOS,0.47,0.47,212.0
134,10104920,CLOS,1.0,1.0,40522.0
135,10105081,CLOS,0.47,0.47,49.0
136,10107700,CLOS,0.16,0.16,1256.0
137,10108119,CLOS,1.0,1.0,5279.0
138,10108195,CLOS,1.0,1.0,188.0
139,10108896,CLOS,0.47,0.47,56.0
140,10110007,CLOS,1.0,1.0,180.0
141,10110042,CLOS,1.0,1.0,199.0
142,10110515,CLOS,1.0,1.0,3659.0
143,10112199,CLOS,1.0,1.0,1379.0
144,10114193,CLOS,0.23,0.23,10190.0
145,10115077,CLOS,1.0,1.0,1381.0
146,10117363,CLOS,1.0,1.0,1174.0
147,10118303,CLOS,0.47,0.47,187.0
148,10119177,CLOS,1.0,1.0,173.0
149,10119881,CLOS,1.0,1.0,3424.0
150,10121200,CLOS,1.0,1.0,1531.0
151,10122873,CLOS,0.46,0.46,1019.0
152,10122912,CLOS,0.47,0.47,659.0
153,10122966,CLOS,0.47,0.47,1542.0
154,10123048,CLOS,0.47,0.47,659.0
155,10123058,CLOS,0.47,0.47,93.0
156,10123064,CLOS,1.0,1.0,612.0
157,10123510,CLOS,0.32,0.32,75073.0
158,10123839,CLOS,1.0,1.0,1216.0
159,10125159,CLOS,1.0,1.0,810.0
160,10126505,CLOS,0.47,0.47,694.0
161,10128880,CLOS,1.0,1.0,1225.0
162,10129654,CLOS,1.0,1.0,5699.0
163,10133439,CLOS,1.0,1.0,662.0
164,10133558,CLOS,1.0,1.0,4859.0
165,10134400,CLOS,1.0,1.0,8063.0
166,10135536,CLOS,1.0,1.0,15118.0
167,10137416,CLOS,0.23,0.23,12674.0
168,10138838,CLOS,1.0,1.0,1578.0
169,10139527,CLOS,1.0,1.0,108.0
170,10139540,CLOS,1.0,1.0,99.0
171,10142678,CLOS,1.0,1.0,419.0
172,10143373,CLOS,0.16,0.16,22260.0
173,10145662,CLOS,0.44,0.44,15722.000000000002
174,10150356,CLOS,0.46,0.46,3299.0
175,10152278,CLOS,1.0,1.0,3597.0
176,10153572,CLOS,0.32,0.32,20410.0
177,10153654,CLOS,1.0,1.0,1134.0
178,10164141,CLOS,0.23,0.23,3578.0
179,10164277,CLOS,1.0,1.0,941.0
180,10164565,CLOS,0.22,0.22,18764.0
181,10164722,CLOS,0.22,0.22,7076.0
182,10165173,CLOS,0.46,0.46,70080.0
183,10168027,CLOS,0.32,0.32,3772.0
184,10168366,CLOS,1.0,1.0,3626.0
185,10168713,CLOS,0.46,0.46,780.0
186,10169200,CLOS,1.0,1.0,2176.0
187,10172374,CLOS,0.47,0.47,3195.0
188,10174699,CLOS,0.47,0.47,81.0
189,10174703,CLOS,1.0,1.0,722.0
190,10174773,CLOS,0.46,0.46,894.0
191,10174834,CLOS,0.46,0.46,32330.000000000004
192,10174996,CLOS,1.0,1.0,4772.0
193,10175575,CLOS,0.16,0.16,2427.0
194,10176577,CLOS,1.0,1.0,6815.0
195,10176964,CLOS,1.0,1.0,36083.0
196,10177954,CLOS,0.46,0.46,539.0
197,10178628,CLOS,0.47,0.47,5207.0
198,10178696,CLOS,0.47,0.47,601.0
199,10180259,CLOS,0.16,0.16,245.99999999999997
200,10180270,CLOS,0.47,0.47,129.0
201,10180454,CLOS,1.0,1.0,34061.0
202,10181257,CLOS,0.46,0.46,26697.0
203,10181304,CLOS,0.47,0.47,8999.0
204,10182641,CLOS,0.47,0.47,78.0
205,10187075,CLOS,1.0,1.0,3953.0000000000005
206,10188246,CLOS,1.0,1.0,1364.0
207,10189447,CLOS,0.47,0.47,839.0
208,10189534,CLOS,0.46,0.46,471.0
209,10191093,CLOS,1.0,1.0,31592.0
210,10191770,CLOS,0.47,0.47,97.0
211,10192232,CLOS,0.47,0.47,542.0
212,10192336,CLOS,0.47,0.47,504.0
213,10192889,CLOS,1.0,1.0,2480.0
214,10192901,CLOS,0.47,0.47,11907.0
